xP,yP,thetaP,inputP,xE,yE,thetaE,inputE,,
4.836159849,5.208612577,0.872825926,4.11E-13,7.086044641,7.869215703,0.876899049,-0.114365383,,
4.881559668,5.262735701,0.872825926,-3.07E-13,7.108581032,7.896304847,0.876869358,0.112680213,,
4.926959486,5.316858825,0.872825926,2.28E-13,7.131117429,7.923393984,0.876898552,-0.111023285,,
4.972359305,5.370981949,0.872825926,-1.68E-13,7.15365382,7.950483127,0.87686985,0.109394257,,
5.017759123,5.425105073,0.872825926,1.22E-13,7.176190217,7.977572265,0.876898066,-0.10779279,,
5.063158942,5.479228197,0.872825926,-8.74E-14,7.198726608,8.004661408,0.87687033,0.106218548,,
5.10855876,5.533351321,0.872825926,6.46E-14,7.221263005,8.031750545,0.876897592,-0.104671198,,
5.153958579,5.587474445,0.872825926,-4.52E-14,7.243799396,8.058839688,0.876870798,0.103150409,,
5.199358397,5.641597569,0.872825926,3.29E-14,7.266335794,8.085928826,0.87689713,-0.101655854,,
5.244758216,5.695720693,0.872825926,-2.46E-14,7.288872185,8.113017969,0.876871254,0.10018721,,
5.290158034,5.749843816,0.872825926,1.75E-14,7.311408582,8.140107107,0.876896679,-0.098744156,,
5.335557853,5.80396694,0.872825926,-1.34E-14,7.333944973,8.16719625,0.8768717,0.097326375,,
5.380957671,5.858090064,0.872825926,9.55E-15,7.35648137,8.194285387,0.87689624,-0.095933554,,
5.42635749,5.912213188,0.872825926,-7.68E-15,7.379017761,8.22137453,0.876872134,0.094565383,,
5.471757308,5.966336312,0.872825926,5.12E-15,7.401554158,8.248463668,0.876895811,-0.093221556,,
5.517157127,6.020459436,0.872825926,-3.68E-15,7.42409055,8.275552811,0.876872557,0.09190177,,
5.562556945,6.07458256,0.872825926,3.45E-15,7.446626946,8.302641949,0.876895392,-0.090605726,,
5.607956764,6.128705684,0.872825926,-2.14E-15,7.469163338,8.329731091,0.876872971,0.089333129,,
5.653356582,6.182828808,0.872825926,1.21E-15,7.491699735,8.35682023,0.876894984,-0.088083688,,
5.698756401,6.236951932,0.872825926,-1.47E-15,7.514236126,8.383909372,0.876873373,0.086857115,,
5.744156219,6.291075056,0.872825926,6.34E-16,7.536772523,8.41099851,0.876894586,-0.085653128,,
5.789556038,6.34519818,0.872825926,-3.49E-16,7.559308914,8.438087653,0.876873766,0.084471445,,
5.834955856,6.399321304,0.872825926,8.37E-16,7.581845311,8.465176791,0.876894198,-0.083311791,,
5.880355675,6.453444427,0.872825926,-4.87E-16,7.604381703,8.492265933,0.87687415,0.082173895,,
5.925755493,6.507567551,0.872825926,-7.02E-17,7.626918099,8.519355072,0.87689382,-0.081057489,,
5.971155312,6.561690675,0.872825926,-3.26E-16,7.649454491,8.546444214,0.876874524,0.079962308,,
6.01655513,6.615813799,0.872825926,3.08E-16,7.671990887,8.573533352,0.87689345,-0.078888093,,
6.061954949,6.669936923,0.872825926,1.82E-16,7.694527279,8.600622495,0.876874889,0.077834587,,
